,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-01-08 01:00:00+01:00,47.38,-1.4161339,-5.454221,-1.2924614,-5.1958284,0.46572012,75.44511,5.635065,1.0802528727542369
2021-01-08 02:00:00+01:00,45.78,-1.3213568,-4.9080086,-1.168108,-4.681444,0.44441754,74.93185,5.082768,0.792737629275409
2021-01-08 03:00:00+01:00,44.51,-1.0490961,-4.5587893,-0.90360683,-4.3772917,0.4170903,77.04038,4.677944,0.6180074756357712
2021-01-08 04:00:00+01:00,45.69,-0.5414061,-4.141636,-0.42882115,-3.989049,0.3891111,82.55237,4.176873,0.4399289052686077
2021-01-08 05:00:00+01:00,50.33,-0.06487602,-3.95115,0.0561632,-3.8200169,0.36516672,89.05932,3.9516826,0.3725415997989726
2021-01-08 06:00:00+01:00,59.71,-0.14263678,-4.1762953,-0.010131393,-4.012314,0.34810233,88.04389,4.1787305,0.4405160201818486
2021-01-08 07:00:00+01:00,79.56,-0.6697704,-4.1971655,-0.5181666,-4.04066,0.33437198,80.93337,4.2502694,0.4635301639231585
2021-01-08 08:00:00+01:00,103.54,-1.1728392,-4.096737,-0.9796365,-3.9369707,0.32715583,74.02432,4.261315,0.4671533829150033
2021-01-08 09:00:00+01:00,107.8,-1.7745485,-3.8592339,-1.5549307,-3.6811037,0.32808518,65.306145,4.247671,0.4626805841311898
2021-01-08 10:00:00+01:00,107.32,-2.3207674,-3.704895,-2.080143,-3.519783,0.3402049,57.936737,4.3717513,0.5044231012616855
2021-01-08 11:00:00+01:00,104.26,-2.2746458,-3.515419,-2.0453157,-3.3295908,0.3408572,57.095192,4.187145,0.4431825953204604
2021-01-08 12:00:00+01:00,99.91,-2.2644873,-4.0535526,-2.029625,-3.8529234,0.3471933,60.810417,4.643188,0.604334554321591
2021-01-08 13:00:00+01:00,95.27,-2.0814419,-5.223645,-1.7357826,-4.844328,0.3574797,68.27444,5.623066,1.0733667871872032
2021-01-08 14:00:00+01:00,92.72,-2.2497692,-5.616069,-1.7933025,-5.3462486,0.36961478,68.16921,6.0499334,1.3368430126479809
2021-01-08 15:00:00+01:00,95.42,-2.3758516,-5.508195,-2.0700293,-5.314314,0.3851726,66.668,5.99874,1.3031931284830125
2021-01-08 16:00:00+01:00,95.0,-2.5650654,-5.525981,-2.377492,-5.1623344,0.40330517,65.10009,6.0922923,1.3651199697310108
